record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
45 45 29.93 0:00:00:01.302/600 0:00:00:01.282/600 154.65 353.85 233.81 134.12 -1000.00 -1000.00 42.00 40.00 
46 46 29.93 0:00:00:01.322/600 0:00:00:01.302/600 150.49 346.16 234.63 132.23 -1000.00 -1000.00 41.00 42.00 
47 47 29.94 0:00:00:01.342/600 0:00:00:01.322/600 146.31 337.81 235.42 130.18 -1000.00 -1000.00 42.00 44.00 
48 48 29.94 0:00:00:01.362/600 0:00:00:01.342/600 142.26 329.30 236.16 128.11 -1000.00 -1000.00 42.00 44.00 
49 49 29.94 0:00:00:01.382/600 0:00:00:01.362/600 138.85 321.83 236.77 126.30 -1000.00 -1000.00 42.00 45.00 
50 50 29.94 0:00:00:01.402/600 0:00:00:01.382/600 139.47 321.92 236.61 126.32 -1000.00 -1000.00 41.00 45.00 
51 51 29.94 0:00:00:01.422/600 0:00:00:01.402/600 140.07 322.78 236.49 126.53 -1000.00 -1000.00 41.00 46.00 
52 52 29.94 0:00:00:01.442/600 0:00:00:01.422/600 140.65 323.86 236.38 126.79 -1000.00 -1000.00 42.00 46.00 
53 53 29.94 0:00:00:01.462/600 0:00:00:01.442/600 141.23 324.75 236.26 127.01 -1000.00 -1000.00 41.00 45.00 
54 54 29.94 0:00:00:01.482/600 0:00:00:01.462/600 141.05 324.31 236.29 126.90 -1000.00 -1000.00 41.00 45.00 
55 55 29.95 0:00:00:01.502/600 0:00:00:01.482/600 139.92 321.69 236.49 126.27 -1000.00 -1000.00 41.00 46.00 
56 56 29.95 0:00:00:01.522/600 0:00:00:01.502/600 138.59 318.77 236.72 125.56 -1000.00 -1000.00 41.00 46.00 
57 57 29.95 0:00:00:01.542/600 0:00:00:01.522/600 137.11 315.86 237.00 124.86 -1000.00 -1000.00 41.00 46.00 
58 58 29.95 0:00:00:01.562/600 0:00:00:01.542/600 136.26 314.05 237.15 124.42 -1000.00 -1000.00 41.00 46.00 
59 59 29.95 0:00:00:01.582/600 0:00:00:01.562/600 136.26 314.04 237.16 124.42 -1000.00 -1000.00 41.00 46.00 
60 60 29.95 0:00:00:02.02/600 0:00:00:01.582/600 140.60 310.00 235.85 123.47 -1000.00 -1000.00 37.00 45.00 
61 61 29.95 0:00:00:02.22/600 0:00:00:02.02/600 157.65 294.39 230.73 119.82 -1000.00 -1000.00 43.00 45.00 
62 62 29.95 0:00:00:02.42/600 0:00:00:02.22/600 176.31 278.25 225.16 116.05 -1000.00 -1000.00 44.00 45.00 
63 63 29.95 0:00:00:02.62/600 0:00:00:02.42/600 195.12 262.21 219.55 112.29 -1000.00 -1000.00 44.00 45.00 
64 64 29.95 0:00:00:02.82/600 0:00:00:02.62/600 209.63 250.27 215.23 109.50 -1000.00 -1000.00 44.00 45.00 
65 65 29.95 0:00:00:02.102/600 0:00:00:02.82/600 211.49 249.74 214.72 109.38 -1000.00 -1000.00 44.00 44.00 
66 66 29.95 0:00:00:02.122/600 0:00:00:02.102/600 211.76 249.62 214.64 109.35 -1000.00 -1000.00 43.00 45.00 
67 67 29.96 0:00:00:02.142/600 0:00:00:02.122/600 211.86 249.54 214.61 109.33 -1000.00 -1000.00 43.00 44.00 
68 68 29.96 0:00:00:02.162/600 0:00:00:02.142/600 209.09 248.69 215.32 109.12 -1000.00 -1000.00 42.00 44.00 
69 69 29.96 0:00:00:02.182/600 0:00:00:02.162/600 204.30 247.50 216.56 108.83 -1000.00 -1000.00 42.00 43.00 
70 70 29.96 0:00:00:02.202/600 0:00:00:02.182/600 199.67 246.50 217.77 108.58 -1000.00 -1000.00 41.00 43.00 
71 71 29.96 0:00:00:02.222/600 0:00:00:02.202/600 195.09 245.42 218.95 108.31 -1000.00 -1000.00 41.00 43.00 
72 72 29.96 0:00:00:02.242/600 0:00:00:02.222/600 193.36 245.04 219.40 108.22 -1000.00 -1000.00 41.00 43.00 
73 73 29.96 0:00:00:02.262/600 0:00:00:02.242/600 193.76 245.12 219.29 108.24 -1000.00 -1000.00 41.00 42.00 
74 74 29.94 0:00:00:02.283/600 0:00:00:02.262/600 193.89 245.03 219.26 108.22 -1000.00 -1000.00 41.00 41.00 
75 75 29.94 0:00:00:02.303/600 0:00:00:02.283/600 193.98 244.94 219.23 108.20 -1000.00 -1000.00 40.00 42.00 
76 76 29.94 0:00:00:02.323/600 0:00:00:02.303/600 194.08 245.04 219.21 108.22 -1000.00 -1000.00 41.00 42.00 
77 77 29.94 0:00:00:02.343/600 0:00:00:02.323/600 193.78 245.47 219.30 108.32 -1000.00 -1000.00 40.00 42.00 
